MICFAM_Id	NbOrganismsFAM	Organism	GO_id	Label	Type	Evidence	Gene	Product	ECnumber	Mutation	ProductType	Localization	Roles	BioProcess	PubmedID	AmigeneStatus	Class	CreationDate	Frame	Begin	End	Length
1083567	1	Streptococcus thermophilus TH1477	53741498	Y022_03805	CDS	automatic/finished		pyruvate oxidase		no						COMMON		2017-11-27 00:00:00	+1	673993	675774	1782
1119752	1	Streptococcus thermophilus BIO1488	73472627	WMLD01_60038	CDS	automatic/finished		exported protein of unknown function		no	u : unknown	1 : Unknown				no	5 : Unknown function	2020-03-02 00:00:00	+2	527030	527398	369
1119752	1	Streptococcus thermophilus BIO1488	73472694	WMLD01_90001	CDS	automatic/finished		exported protein of unknown function		no	u : unknown	1 : Unknown				no	5 : Unknown function	2020-03-02 00:00:00	-1	577054	577422	369
1162351	1	Streptococcus thermophilus TH982	53736200	Y018_04445	CDS	automatic/finished		UDP-N-acetylglucosamine 2-epimerase		no						COMMON		2017-11-27 00:00:00	+3	781821	782996	1176
1251746	1	Streptococcus thermophilus CNCM I-1630	53684109	AGFN01_v1_1080008	CDS	automatic/finished		putative enzyme (fragment)		no						no	3 : Putative function from multiple computational evidences	2017-11-24 00:00:00	-2	1140033	1140605	573
1253658	1	Streptococcus thermophilus CNCM I-1630	53684247	AGFN01_v1_1270008	fCDS	automatic/finished	leuD	fragment of 3-isopropylmalate dehydratase (small subunit) (part 2)	4.2.1.33	pseudo	e : enzyme			16.2 : Construct biomass (Anabolism) ;	15228537, 15916605	no	2a : Function from experimental evidences in other organisms	2017-11-24 00:00:00	-2	1230525	1230767	243
1253681	1	Streptococcus thermophilus B59671	53746257	CG712_09410	fCDS	automatic/finished		replication initiator protein		pseudo						COMMON		2017-11-27 00:00:00	+3	1762734	1763267	534
1308418	1	Streptococcus thermophilus M17PTZA496	53731756	X841_06155	CDS	automatic/finished		copper-exporting ATPase		no						COMMON		2017-11-27 00:00:00	+2	1064183	1064389	207
1308483	1	Streptococcus thermophilus B59671	53746289	CG712_09575	CDS	automatic/finished		DNA-binding protein		no						COMMON		2017-11-27 00:00:00	-1	1797864	1798556	693
1308489	1	Streptococcus thermophilus B59671	53746287	CG712_09565	CDS	automatic/finished		DNA polymerase		no						COMMON		2017-11-27 00:00:00	-2	1796306	1797721	1416
1308494	1	Streptococcus thermophilus B59671	53746285	CG712_09555	CDS	automatic/finished		hypothetical protein		no						COMMON		2017-11-27 00:00:00	-2	1795664	1795972	309
1308817	1	Streptococcus thermophilus M17PTZA496	53731755	X841_06150	CDS	automatic/finished		copper-exporting ATPase		no						COMMON		2017-11-27 00:00:00	+1	1063558	1064034	477
1308833	1	Streptococcus thermophilus M17PTZA496	53730784	X841_00915	CDS	automatic/finished		heat shock protein GrpE		no						COMMON		2017-11-27 00:00:00	+1	146143	146682	540
1308835	1	Streptococcus thermophilus M17PTZA496	53730370	X841_11770	CDS	automatic/finished		NADPH-dependent FMN reductase		no						COMMON		2017-11-27 00:00:00	+3	4983	5582	600
1309639	1	Streptococcus thermophilus TH1477	53741817	Y022_04640	CDS	automatic/finished		chemotaxis protein CheY		no						COMMON		2017-11-27 00:00:00	-2	830427	831125	699
1311151	1	Streptococcus thermophilus CNCM I-1630	53683904	AGFN01_v1_850002	fCDS	automatic/finished	rsmI	fragment of 16S rRNA 2'-O-ribose C1402 methyltransferase (part 1)	2.1.1.198	pseudo	e : enzyme			16.3 : Control ; 16.8 : Protect ;	16014871, 19965768, 25893373	no	2a : Function from experimental evidences in other organisms	2017-11-24 00:00:00	-3	1008875	1009162	288
1313779	1	Streptococcus thermophilus CNCM I-1630	53683954	AGFN01_v1_900012	CDS	automatic/finished		Phosphopyruvate hydratase	4.2.1.11	no						no		2017-11-24 00:00:00	+3	1041657	1041929	273
1313831	1	Streptococcus thermophilus CIRM24	69169291	STH24_v1_pa0009	CDS	automatic/finished		ImmA/IrrE family metallo-endopeptidase		no						no		2019-07-08 00:00:00	-1	5881	6264	384
1316466	1	Streptococcus thermophilus M17PTZA496	53731276	X841_03535	CDS	automatic/finished		DNA-binding protein		no						COMMON		2017-11-27 00:00:00	+3	623682	623894	213
1319118	1	Streptococcus thermophilus LMG 18311	1893303	STRTD1056	CDS	automatic/finished		Predicted flavoprotein with PAS domain (fragment)		no						UNIQUE_AMIGA		2007-05-16 00:00:00	+1	893188	893415	228
1325501	1	Streptococcus thermophilus LMG 18311	1895539	stu0079	CDS	automatic/finished		D-alanyl-D-alanine carboxypeptidase precursor (DD- peptidase) (DD-carboxypeptidase) (CPase) (PBP5) (fragment)		no						COMMON		2007-05-16 00:00:00	-1	89607	89774	168
1328399	1	Streptococcus thermophilus LMD-9	1898548	STRTD0894	CDS	automatic/finished		Transmembrane protein 147 (fragment)		no						UNIQUE_AMIGA		2007-05-22 00:00:00	-2	774847	774993	147
1328430	1	Streptococcus thermophilus LMD-9	1898600	STRTD1291	CDS	automatic/finished		protein of unknown function		no	u : unknown	1 : Unknown				UNIQUE_AMIGA	5 : Unknown function	2007-05-22 00:00:00	+1	1084498	1084641	144
1328453	1	Streptococcus thermophilus LMD-9	1898635	STRTD1617	CDS	automatic/finished		Maltose transport system permease protein malF (fragment)		no						UNIQUE_AMIGA		2007-05-22 00:00:00	-3	1366785	1366967	183
1328461	1	Streptococcus thermophilus LMD-9	1898647	STRTD1734	CDS	automatic/finished		protein of unknown function		no	u : unknown	1 : Unknown				UNIQUE_AMIGA	5 : Unknown function	2007-05-22 00:00:00	-3	1465152	1465421	270
1329086	1	Streptococcus thermophilus LMD-9	1898916	STER_0248	CDS	automatic/finished		conserved protein of unknown function		no	u : unknown	1 : Unknown				WRONG	4 : Unknown function but conserved in other organisms	2007-05-22 00:00:00	+2	212357	212491	135
133142	1	Streptococcus thermophilus TH985	53737504	Y016_10415	CDS	automatic/finished		UDP-glucose 6-dehydrogenase		no						COMMON		2017-11-27 00:00:00	+3	8712	9878	1167
1335557	1	Streptococcus thermophilus LMD-9	1900161	STER_1388	CDS	automatic/finished		sensory histidine kinase in two-component regulatory system with NarL (fragment)		pseudo						COMMON		2007-05-22 00:00:00	-2	1296598	1297242	645
1337237	1	Streptococcus thermophilus LMD-9	1900854	STER_1098	fCDS	automatic/finished				pseudo						COMMON		2007-05-22 00:00:00	-3	1014339	1014551	213
1340702	1	Streptococcus thermophilus M17PTZA496	53731275	X841_03530	CDS	automatic/finished		XRE family transcriptional regulator		no						COMMON		2017-11-27 00:00:00	-1	623145	623483	339
1340732	1	Streptococcus thermophilus CNCM I-1630	53683648	AGFN01_v1_570009	fCDS	automatic/finished	purC	fragment of phosphoribosylaminoimidazole succinocarboxamide synthetase (part 1)	6.3.2.6	pseudo	e : enzyme			16.2 : Construct biomass (Anabolism) ;	2495272, 9683488, 10784038, 12787499, 26118696	no	2a : Function from experimental evidences in other organisms	2017-11-24 00:00:00	-2	811245	811529	285
1342335	1	Streptococcus thermophilus CNRZ21N	59660282	STHERMOCNRZ21N_v1_30142	fCDS	automatic/finished	engD	fragment of potassium-dependent informational ATPase interacting with 70S ribosome; ROS stress regulator (part 2)		pseudo	e : enzyme			16.2 : Construct biomass (Anabolism) ; 16.6 : Maintain ; 16.8 : Protect ;	12837776, 16014871, 18713637, 21527254, 22995830, 26018081, 26160547, 26912459	no	2a : Function from experimental evidences in other organisms	2018-07-06 00:00:00	-3	973829	974167	339
1343181	1	Streptococcus thermophilus CNCM I-1630	53684483	AGFN01_v1_1660004	CDS	automatic/finished		RimM		no						no		2017-11-24 00:00:00	-3	1367429	1367668	240
1343616	1	Streptococcus thermophilus CNCM I-1630	53684789	AGFN01_v1_2770001	CDS	automatic/finished		ribosomal protein L17 (BL15) (fragment)		no						no		2017-11-24 00:00:00	+3	1552956	1553177	222
1343980	1	Streptococcus thermophilus ST106	66596253	D1O36_10055	fCDS	automatic/finished	rlmH	23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH		pseudo						COMMON		2019-03-26 00:00:00	-3	1853094	1853243	150
1413899	1	Streptococcus thermophilus ACA-DC 2	53726820	STACADC2_0789	CDS	automatic/finished		Type III restriction-modification system methylation subunit	2.1.1.72	no						COMMON		2017-11-24 00:00:00	-2	792985	795009	2025
1414075	1	Streptococcus thermophilus S1N	59652074	STHERMOS1N_v1_21021	CDS	automatic/finished		Dipeptide transport ATP-binding protein DppD (TC 3.A.1.5.2) (modular protein)		no						no		2018-07-06 00:00:00	-2	1696382	1696723	342
14683	1	Streptococcus thermophilus TH1435	53693344	U730_00085	CDS	automatic/finished		hypothetical protein		no						WRONG		2017-11-24 00:00:00	+3	17244	17393	150
1480791	1	Streptococcus thermophilus S2N_ST20	59652909	STHERMOS2N_v1_0484	fCDS	automatic/finished	alaS	fragment of alanyl-tRNA synthetase (part 1)	6.1.1.7	pseudo	e : enzyme			16.2 : Construct biomass (Anabolism) ;	12554667, 12682299, 17329819, 22720735, 25918376	no	2a : Function from experimental evidences in other organisms	2018-07-06 00:00:00	+3	440235	440969	735
1480794	1	Streptococcus thermophilus ST109	66587477	DV947_01760	fCDS	automatic/finished		NCS2 family permease		pseudo						COMMON		2019-03-26 00:00:00	+1	323527	323814	288
1573653	1	Streptococcus thermophilus JIM1081	69607865	STHJ1081_v1_0875	CDS	automatic/finished		conserved protein of unknown function		no	u : unknown	1 : Unknown				no	4 : Unknown function but conserved in other organisms	2019-07-31 00:00:00	+2	810134	810322	189
1573667	1	Streptococcus thermophilus JIM1081	69607876	STHJ1081_v1_0886	CDS	automatic/finished		conserved protein of unknown function		no	u : unknown	1 : Unknown				no	4 : Unknown function but conserved in other organisms	2019-07-31 00:00:00	+3	815505	815753	249
1573698	1	Streptococcus thermophilus JIM1081	69607910	STHJ1081_v1_0920	CDS	automatic/finished		conserved protein of unknown function		no	u : unknown	1 : Unknown				no	4 : Unknown function but conserved in other organisms	2019-07-31 00:00:00	+2	853907	854185	279
1573720	1	Streptococcus thermophilus JIM1081	69607877	STHJ1081_v1_0887	CDS	automatic/finished		conserved protein of unknown function		no	u : unknown	1 : Unknown				no	4 : Unknown function but conserved in other organisms	2019-07-31 00:00:00	-1	815746	816702	957
1573802	1	Streptococcus thermophilus JIM 8232	53666270	STH8232_0688	CDS	automatic/finished		uvrD, superfamily I DNA and RNA helicases	3.6.1.-	no						COMMON		2017-11-23 00:00:00	+2	561617	563632	2016
1573803	1	Streptococcus thermophilus JIM 8232	53666268	STH8232_0687	CDS	automatic/finished		putative ATP-dependent endonuclease of the OLDfamily		no						COMMON		2017-11-23 00:00:00	+2	559367	561613	2247
1614392	1	Streptococcus thermophilus CNCM I-1630	53683044	AGFN01_v1_200001	CDS	automatic/finished		50S ribosomal protein L32 (fragment)		no						no		2017-11-24 00:00:00	+3	367230	367349	120
1632	1	Streptococcus thermophilus CIRM1860	68804702	STH1860_v1_p0005	CDS	automatic/finished		conserved protein of unknown function		no	u : unknown	1 : Unknown				no	4 : Unknown function but conserved in other organisms	2019-06-11 00:00:00	-1	4247	4405	159
1721647	1	Streptococcus thermophilus CNCM I-1630	53684487	AGFN01_v1_1670003	CDS	automatic/finished		persulfide ATP pyrophosphatase involved in tRNA modification (fragment)	2.8.1.4	no						no		2017-11-24 00:00:00	-1	1370254	1370925	672
1721665	1	Streptococcus thermophilus CNCM I-1630	53683328	AGFN01_v1_350014	fCDS	automatic/finished	ytfP	fragment of putative NAD(FAD)-utilizing dehydrogenase (part 1)	1.-.-.-	pseudo	e : enzyme			16.11 : Scavenge (Catabolism) ;		no	3 : Putative function from multiple computational evidences	2017-11-24 00:00:00	-2	588711	588872	162
1721705	1	Streptococcus thermophilus CNCM I-1630	53683507	AGFN01_v1_480009	fCDS	automatic/finished	rnjA	fragment of ribonuclease J1 (part 2)		pseudo	e : enzyme			16.3 : Control ; 16.6 : Maintain ;	12682299, 15831787, 17005971, 17229210, 17512403, 18713320, 19850915, 21893285, 21893286, 20025672, 22720735, 23504012, 24187087	no	2a : Function from experimental evidences in other organisms	2017-11-24 00:00:00	+2	721316	721960	645
1721733	1	Streptococcus thermophilus CNCM I-1630	53683805	AGFN01_v1_730006	fCDS	automatic/finished	polC	fragment of DNA polymerase III (alpha subunit) (part 3)	2.7.7.7	pseudo	e : enzyme			16.9 : Replicate ;	11721055, 12081953, 12217498, 20122408, 21740522, 24106089, 28575448	no	2a : Function from experimental evidences in other organisms	2017-11-24 00:00:00	+3	933783	934196	414
1721735	1	Streptococcus thermophilus MTCC 5460	53686822	ALIK01_v1_1350030	fCDS	automatic/finished	ruvB	fragment of Holliday junction DNA helicase, ATP-dependent component (part 2)	3.1.22.4	pseudo	e : enzyme			16.6 : Maintain ; 16.9 : Replicate ;	14701911, 15317759, 16267290, 19422832, 21600217, 24770420	no	2a : Function from experimental evidences in other organisms	2017-11-24 00:00:00	-1	1546007	1546204	198
1721737	1	Streptococcus thermophilus CNCM I-1630	53684924	AGFN01_v1_3510001	fCDS	automatic/finished	rpoA	fragment of RNA polymerase (alpha subunit) (part 1)	2.7.7.6	pseudo	e : enzyme			16.2 : Construct biomass (Anabolism) ;	1484484, 6811591, 9594570, 10972808, 12682299, 22720735	no	2a : Function from experimental evidences in other organisms	2017-11-24 00:00:00	+1	1632823	1633161	339
1721805	1	Streptococcus thermophilus KU30	73464504	QFFS01_160002	CDS	automatic/finished		redox-sensitive regulator (fragment)		no						no		2020-03-02 00:00:00	-2	784602	784733	132
1721905	1	Streptococcus thermophilus ST106	66596407	D1O36_06405	fCDS	automatic/finished	smc	chromosome segregation protein SMC		pseudo						COMMON		2019-03-26 00:00:00	-3	1171602	1171841	240
17647	1	Streptococcus thermophilus TH982	53736199	Y018_04440	CDS	automatic/finished		capsular polysaccharide biosynthesis protein		no						COMMON		2017-11-27 00:00:00	+1	780778	781824	1047
1860296	1	Streptococcus thermophilus ST106	66596444	D1O36_07845	fCDS	automatic/finished		glycosyl hydrolase family 70		pseudo						COMMON		2019-03-26 00:00:00	-1	1448816	1453102	4287
2030116	1	Streptococcus thermophilus JIM 8232	53670928	STH8232_2193	CDS	automatic/finished		hypothetical protein		no						COMMON		2017-11-23 00:00:00	-3	1816084	1817070	987
2036887	1	Streptococcus thermophilus CIRM30	69175536	STHERMO_v1_1938	CDS	automatic/finished		putative Type I site-specific deoxyribonuclease	3.1.21.3	no	e : enzyme					no	3 : Putative function from multiple computational evidences	2019-07-08 00:00:00	-3	1700612	1702501	1890
2043090	1	Streptococcus thermophilus TH985	53743858	Y016_01740	CDS	automatic/finished				no						COMMON		2017-11-27 00:00:00	+2	289511	289717	207
2043091	1	Streptococcus thermophilus TH985	53739735	Y016AM_0328	CDS	automatic/finished		transposase (fragment)		no						UNIQUE_AMIGA		2017-11-27 00:00:00	+2	289811	290035	225
2043092	1	Streptococcus thermophilus TH985	53739736	Y016AM_0329	CDS	automatic/finished		conserved protein of unknown function		no	u : unknown	1 : Unknown				NEW	4 : Unknown function but conserved in other organisms	2017-11-27 00:00:00	+2	290051	290566	516
2080	1	Streptococcus thermophilus CIRM1860	68804706	STH1860_v1_p0009	CDS	automatic/finished		Transcriptional regulator		no						no		2019-06-11 00:00:00	+3	6471	6755	285
2081	1	Streptococcus thermophilus CIRM1860	68804705	STH1860_v1_p0008	CDS	automatic/finished		conserved protein of unknown function		no	u : unknown	1 : Unknown				no	4 : Unknown function but conserved in other organisms	2019-06-11 00:00:00	+1	6118	6471	354
2087451	1	Streptococcus thermophilus CNCM I-1630	53684784	AGFN01_v1_2740001	CDS	automatic/finished		ribosomal protein L20 (fragment)		no						no		2017-11-24 00:00:00	+3	1550022	1550171	150
2092750	1	Streptococcus thermophilus MTH17CL396	53733911	X839_04225	CDS	automatic/finished		hypothetical protein		no						COMMON		2017-11-27 00:00:00	-3	746157	746753	597
231992	1	Streptococcus thermophilus M17PTZA496	53731767	X841_06210	CDS	automatic/finished		phosphate acyltransferase		no						COMMON		2017-11-27 00:00:00	+1	1073368	1074363	996
232036	1	Streptococcus thermophilus M17PTZA496	53730608	X841AM_2223	CDS	automatic/finished		protein of unknown function		no	u : unknown	1 : Unknown				UNIQUE_AMIGA	5 : Unknown function	2017-11-27 00:00:00	+3	1890960	1891163	204
232045	1	Streptococcus thermophilus KLDS 3.1003	53725021	BEN15_07380	CDS	automatic/finished		transposase		no						COMMON		2017-11-24 00:00:00	-1	1396530	1396805	276
232051	1	Streptococcus thermophilus M17PTZA496	53730783	X841_00910	CDS	automatic/finished		HrcA family transcriptional regulator		no						COMMON		2017-11-27 00:00:00	+2	145067	146101	1035
232058	1	Streptococcus thermophilus M17PTZA496	53730790	X841_00945	CDS	automatic/finished		hypothetical protein		no						COMMON		2017-11-27 00:00:00	+2	152159	152722	564
2320913	1	Streptococcus thermophilus CAG:236	53690848	CBBT_v1_850004	CDS	automatic/finished		Peptidoglycan binding protein (LysM domain) (fragment)		no						no		2017-11-24 00:00:00	-3	1568720	1568836	117
233663	1	Streptococcus thermophilus M17PTZA496	53730385	X841_11845	CDS	automatic/finished		hypothetical protein		no						COMMON		2017-11-27 00:00:00	-1	18258	18566	309
2338	1	Streptococcus thermophilus MTH17CL396	53733909	X839_04215	CDS	automatic/finished		hypothetical protein		no						COMMON		2017-11-27 00:00:00	+1	742252	743712	1461
233803	1	Streptococcus thermophilus M17PTZA496	53731762	X841_06185	CDS	automatic/finished		CtsR family transcriptional regulator		no						COMMON		2017-11-27 00:00:00	-2	1069274	1069735	462
235300	1	Streptococcus thermophilus S1N	59651550	STHERMOS1N_v1_20497	fCDS	automatic/finished	parC	fragment of subunit A of DNA topoisomerase IV (ATP-dependent) (part 1)	5.99.1.3	pseudo	e : enzyme			16.2 : Construct biomass (Anabolism) ; 16.9 : Replicate ;	9539793, 12682299, 16267290, 16272394, 24440393	no	2a : Function from experimental evidences in other organisms	2018-07-06 00:00:00	-3	1237687	1238634	948
242321	1	Streptococcus thermophilus MTH17CL396	53733908	X839_04210	CDS	automatic/finished		hypothetical protein		no						COMMON		2017-11-27 00:00:00	+1	741664	741999	336
242359	1	Streptococcus thermophilus CIRM1860	68804700	STH1860_v1_p0003	CDS	automatic/finished		RepB protein		no						no		2019-06-11 00:00:00	-3	1635	2789	1155
242463	1	Streptococcus thermophilus CNCM I-1630	53683984	AGFN01_v1_940002	fCDS	automatic/finished	walR	fragment of two-component response regulator [YycF] (part 2)		pseudo	r : regulator			16.3 : Control ;	10878122, 12682299, 15015732, 15153768, 17307850, 17370266, 18789936, 19019149, 21219466, 23199363, 24125693, 26102633, 28674376	no	2a : Function from experimental evidences in other organisms	2017-11-24 00:00:00	+2	1057508	1057798	291
